"Wissenschaftsbereich";"Fachgebiet";"Fachkollegium";"Fach/Disziplin";"Dachverband";"Fachgesellschaft";"Anzahl Mitgliederanzahl Wissenschaftler";"Wikipedialink";"Website";"Kontakt"
"Ingenieurwissenschaften";"Maschinenbau und Produktionstechnik";"4.11 Produktionstechnik";"4.11-05 Produktionssystematik, Betriebswissenschaften, Qualitätsmanagement";"";"Deutsche Gesellschaft für Qualität e.V. (DGQ)";"rund 5.700 persönliche und knapp 750 Firmenmitglieder (Website)";"https://en.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Qualität";"https://www.dgq.de";"Sitz Frankfurt am Main; Tel: 069 954 24-0; Präsident: Prof. Dr. Robert Schmitt"
"Ingenieurwissenschaften";"Maschinenbau und Produktionstechnik";"4.12 Mechanik und Konstruktiver Maschinenbau";"4.12-02 Mechanik";"";"Gesellschaft für Angewandte Mathematik und Mechanik e.V. (GAMM)";"mehr als 1.500 Mitglieder (Madipedia/Wikipedia)";"https://en.wikipedia.org/wiki/Gesellschaft_für_Angewandte_Mathematik_und_Mechanik";"https://www.gamm.org";"Geschäftsstelle c/o TU Dresden, Institut für Statik und Dynamik der Tragwerke, 01062 Dresden; Tel: +49-351-463-33448; E-Mail: GAMM@mailbox.tu-dresden.de"
"Ingenieurwissenschaften";"Wärmetechnik/Verfahrenstechnik";"4.21 Verfahrenstechnik, Technische Chemie";"4.21-01 Chemische und Thermische Verfahrenstechnik (u.a.)";"";"DECHEMA Gesellschaft für Chemische Technik und Biotechnologie e.V.";"rund 5.800–6.000 Mitglieder (Website/IVAM)";"https://en.wikipedia.org/wiki/DECHEMA";"https://dechema.de";"Sitz Frankfurt am Main; LinkedIn (11.322 Follower); Veranstalter der ACHEMA"
"Ingenieurwissenschaften";"Wärmetechnik/Verfahrenstechnik";"4.22 Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik";"4.22-01 Energieverfahrenstechnik";"DVT";"Deutscher Kälte- und Klimatechnischer Verein e.V. (DKV)";"ca. 1.530 Mitglieder im In- und Ausland (Wikipedia)";"https://de.wikipedia.org/wiki/Deutscher_Kälte-_und_Klimatechnischer_Verein";"https://dkv.org";"Sitz Berlin; Mitglied im International Institute of Refrigeration (IIR) und im DVT"
"Ingenieurwissenschaften";"Materialwissenschaft und Werkstofftechnik";"4.31 Werkstofftechnik";"4.31-05 Glas und Keramik und darauf basierende Verbundwerkstoffe";"";"Deutsche Keramische Gesellschaft e.V. (DKG)";"mehr als 600 persönliche und mehr als 250 institutionelle Mitglieder (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Keramische_Gesellschaft";"https://www.dkg.de";"Adresse: Sophienstraße 3, 51149 Köln; Gründungsmitglied der European Ceramic Society (ECerS)"
"Ingenieurwissenschaften";"Materialwissenschaft und Werkstofftechnik";"4.32 Materialwissenschaft";"4.32-01 Herstellung und Eigenschaften von Funktionsmaterialien (u.a.)";"";"Deutsche Gesellschaft für Materialkunde e.V. (DGM)";"mehr als 2.300 persönliche Mitglieder (Website)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Materialkunde";"https://dgm.de";"Adresse: Wallstraße 58/59, 10179 Berlin; Tel: 069/75306 750; E-Mail: dgm@dgm.de"
"Ingenieurwissenschaften";"Systemtechnik";"4.41 Systemtechnik";"4.41-05 Arbeitswissenschaft, Ergonomie, Mensch-Maschine-Systeme";"";"Gesellschaft für Arbeitswissenschaft e.V. (GfA)";"452 Mitglieder, Stand 2020 (Wikipedia); ca. 516 lt. IEA";"https://de.wikipedia.org/wiki/Gesellschaft_für_Arbeitswissenschaft";"https://www.gesellschaft-fuer-arbeitswissenschaft.de";"Adresse: Alte Heerstraße 111, 53757 Sankt Augustin; Tel: +49 (0)30 1300-13003; E-Mail: info@gesellschaft-fuer-arbeitswissenschaft.de"
"Ingenieurwissenschaften";"Informatik, System- und Elektrotechnik";"4.43 Informatik";"4.43-04 Künstliche Intelligenz und Maschinelle Lernverfahren (u.a.)";"";"Gesellschaft für Informatik e.V. (GI)";"ca. 17.000 Mitglieder, Stand September 2024 (Wikipedia)";"https://de.wikipedia.org/wiki/Gesellschaft_für_Informatik";"https://gi.de";"Sitz Bonn; E-Mail: mitgliederservice@gi.de; Präsident: Martin Wolf; Mitglied in IFIP und CEPIS"
"Ingenieurwissenschaften";"Bauwesen und Architektur";"4.51 Bauwesen und Architektur";"4.51-04 Konstruktiver Ingenieurbau, Bauinformatik und Baubetrieb";"";"Deutscher Beton- und Bautechnik-Verein e.V. (DBV)";"rund 545 Mitglieder, Stand 2025 (Wikipedia)";"https://de.wikipedia.org/wiki/Deutscher_Beton-_und_Bautechnik-Verein";"https://www.betonverein.de";"Adresse: Kurfürstenstraße 129, 10785 Berlin; Tel: +49 30 236096-0; E-Mail: info@betonverein.de"
"Ingenieurwissenschaften";"Bauwesen und Architektur";"4.51 Bauwesen und Architektur";"4.51-06 Geotechnik, Wasserbau";"";"Deutsche Gesellschaft für Geotechnik e.V. (DGGT)";"etwa 2.000 Mitglieder (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Geotechnik";"https://www.dggt.de";"Adresse: Hollestr. 1g, Essen; Kontakt über Website-Formular"
